kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,lfmr_gpu,mpki_gpu,dram_bytes_per_launch,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
st_track_with_cache_kernel,slam_loop,memory-latency,64,265.7824,2.39,1.07,0.32,92.62,91.28,2.08,19.1,15.52,0.0872,31.397,2.90001e+06,4.366,0.187,0.01,0.0,0.014,0.001,0.0,1.401,0.0
st_build_cache_kernel,slam_loop,memory-bound,56,4.4118,58.21,4.88,2.33,92.95,97.03,2.08,24.93,24.04,0.0297,254.752,399445,11.849,0.099,3.628,0.0,1.278,0.002,0.0,0.929,0.0
