Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.9,34121978,683,49959.0,49600.0,14528,64800,5582.5,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
9.7,18464460,349,52906.8,52832.0,52672,53313,165.8,"cuvslam::cuda::cast_image_kernel_rgb(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
9.3,17744467,518,34255.7,32144.0,19488,49536,6850.5,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
8.0,15275177,1396,10942.1,6608.0,3104,27936,9674.7,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
5.0,9433126,683,13811.3,13984.0,8704,15104,824.8,"cuvslam::cuda::sba::build_full_system_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
4.5,8627684,616,14006.0,14624.0,2816,15488,2298.4,"cuvslam::cuda::sba::reduced_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, float)"
4.3,8136453,1745,4662.7,2752.0,2208,11488,3382.7,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
4.3,8135559,616,13207.1,13056.0,10784,16928,1273.4,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
3.5,6698210,1300,5152.5,2784.0,2208,13920,4312.1,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
2.6,4974530,616,8075.5,8256.0,5056,8672,574.0,"void trsv_lt_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
2.5,4848294,616,7870.6,7904.0,6688,8096,248.7,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128, (int)1, (int)32, (int)32, (int)32, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
2.1,3986470,683,5836.7,5696.0,5408,7584,341.9,"cuvslam::cuda::sba::calc_jacobians_kernel(cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, float)"
2.0,3848289,683,5634.4,5824.0,1440,6304,863.7,"cuvslam::cuda::sba::clear_full_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
1.9,3615457,616,5869.2,5888.0,4288,6496,338.1,"void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
1.8,3386113,89,38046.2,38048.0,37728,38944,170.4,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
1.7,3271555,616,5311.0,5440.0,2912,5856,471.0,"cuvslam::cuda::sba::v1T_x_M_T_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *)"
1.7,3203106,616,5199.8,5280.0,2656,6272,550.2,"cuvslam::cuda::sba::reduced_system_stage_12_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
1.6,3056768,1232,2481.1,2464.0,2304,2592,67.8,"cuvslam::cuda::sba::point_term_kernel(float3 *, cuvslam::cuda::Mat<float, (int)3, (int)3> *, int, bool, float *)"
1.6,3051940,1232,2477.2,2160.0,1920,3329,520.0,"cuvslam::cuda::sba::reduce_abs_max_kernel(float *, unsigned long, float *)"
1.4,2741824,704,3894.6,3872.0,3552,4256,127.7,"cuvslam::cuda::sba::evaluate_cost_kernel(float *, int *, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, cuvslam::cuda::sba::GPUParameterUpdateMeta, float)"
1.4,2725379,89,30622.2,30432.0,25184,37984,2568.1,"cuvslam::cuda::lk_track_horizontal_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
1.1,2117794,616,3438.0,3520.0,2528,3616,179.7,"cuvslam::cuda::sba::reduced_system_stage_3_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int)"
0.9,1660064,616,2694.9,2784.0,1760,3072,274.9,"cuvslam::cuda::sba::calc_point_update_kernel_xavier_special(float *, float *, unsigned long, float *, float *, int, int)"
0.8,1451841,616,2356.9,2304.0,2240,2912,150.1,"cuvslam::cuda::sba::calc_pose_update_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::sba::float6 *, int)"
0.8,1446272,616,2347.8,2336.0,2240,2560,39.7,"cuvslam::cuda::sba::v1T_x_M_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *, bool)"
0.7,1345889,616,2184.9,2176.0,2144,2208,18.9,"cuvslam::cuda::sba::pose_scaling_term_kernel(float *, float *, unsigned long, int, float *)"
0.6,1103009,595,1853.8,1856.0,1600,1984,57.9,"cuvslam::cuda::sba::update_points_kernel(cuvslam::cuda::sba::Point *, float3 *, int)"
0.5,1039712,267,3894.1,3840.0,3616,4288,163.0,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortMergeKernel<cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::policy_hub<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::vsmem_t)"
0.5,1036480,89,11645.8,11648.0,11488,11904,78.5,"cuvslam::cuda::non_max_suppression_kernel(unsigned long long, uint2, float *, int)"
0.5,977056,267,3659.4,3680.0,3040,3968,150.7,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortPartitionKernel<cuvslam::cuda::Keypoint *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.5,954881,89,10729.0,10720.0,10528,10944,86.0,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::policy_hub<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::vsmem_t)"
0.5,935936,616,1519.4,1504.0,1472,1632,20.2,"cuvslam::cuda::sba::make_prediction(float, float, float *, float *, float *, float *, float *)"
0.5,914720,595,1537.3,1536.0,1472,1568,22.0,"cuvslam::cuda::sba::update_poses_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::Mat<float, (int)4, (int)4> *, int)"
0.4,836257,683,1224.4,1216.0,1184,1248,19.7,"cuvslam::cuda::sba::clear_full_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, int)"
0.4,778338,616,1263.5,1248.0,1216,1312,17.9,"xxtrf4_set_info_ker(int, int *)"
0.4,776672,616,1260.8,1248.0,1216,1312,17.8,"copy_info_kernel(int, int *)"
0.4,775969,616,1259.7,1248.0,1216,1312,18.9,"dtrsv_init_up(int *, int)"
0.4,775520,616,1259.0,1248.0,1216,1312,18.3,dtrsv_init(int *)
0.4,758048,89,8517.4,8512.0,8320,8800,69.6,"cuvslam::cuda::accumulateGFTT_kernel(unsigned long long, uint2, uint2, uint2, float *)"
0.4,717376,89,8060.4,8064.0,7968,8160,41.3,"cuvslam::cuda::downsample_gftt_x8_kernel(const float *, int, float *, uint2, int, uint2 *, int)"
0.2,314976,89,3539.1,3552.0,3424,3648,51.7,"cuvslam::cuda::select_features_kernel(const float *, uint2, unsigned long, const float *, uint2, int, const uint2 *, int, cuvslam::cuda::Keypoint *, int, int *, int *)"
0.1,161568,88,1836.0,1856.0,1664,1920,60.9,"cuvslam::cuda::filter_maximums_kernel(float *, uint2, int, const cuvslam::cuda::Keypoint *, int)"
