Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.0,66910848,4263,15695.7,15712.0,15039,16256,218.1,"cuvslam::cuda::matcher::photometric_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
28.9,62504819,4263,14662.2,14656.0,14464,15104,76.8,"cuvslam::cuda::matcher::point_to_point_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
9.1,19735152,260,75904.4,75903.5,73120,79167,1016.1,"cuvslam::cuda::cast_depth_kernel(const unsigned short *, unsigned long, float, float *, unsigned long, uint2)"
8.5,18327096,2600,7048.9,3456.0,3136,18976,5966.2,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
5.4,11573453,518,22342.6,20608.0,16320,44927,5088.2,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
4.4,9399442,260,36151.7,36159.0,36031,36511,46.6,"cuvslam::cuda::cast_image_kernel_rgb(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
2.8,5963942,1560,3823.0,2415.5,2271,9824,2639.6,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
2.6,5529421,1560,3544.5,2495.5,2144,8192,2113.0,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
1.1,2341306,89,26306.8,30912.0,8032,35840,8218.8,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
0.7,1565402,114,13731.6,12624.0,10848,18336,2846.6,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
