kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,lfmr_gpu,mpki_gpu,dram_bytes_per_launch,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
st_track_with_cache_kernel,slam_loop,memory-latency,46,214.0795,0.58,0.33,0.27,93.24,79.72,2.08,7.42,6.4,0.2028,83.11,2.69426e+06,4.245,0.195,0.009,0.0,0.012,0.001,0.0,1.402,0.0
st_build_cache_kernel,slam_loop,memory-latency,74,1.2085,1.51,0.59,0.95,92.47,68.4,2.08,2.75,2.74,0.316,214.143,33712.4,1.487,0.111,0.105,0.0,0.82,0.002,0.0,0.943,0.0
