Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.4,36705271,778,47179.0,47104.0,42464,53408,1933.5,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
8.4,21299720,1799,11839.8,10816.0,10496,17376,2286.6,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
6.6,16745751,2600,6440.7,3488.0,3328,16576,5017.0,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
5.9,14995312,1799,8335.4,8416.0,2272,8672,585.5,"cuvslam::cuda::sba::reduced_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, float)"
5.8,14891664,1799,8277.7,8256.0,5088,8768,359.4,"void trsv_lt_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
5.7,14428521,899,16049.5,15968.0,6400,26368,3841.1,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
5.4,13853924,1799,7700.9,7776.0,6720,8288,417.7,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128, (int)1, (int)32, (int)32, (int)32, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
4.2,10818332,1799,6013.5,5920.0,4288,6464,252.7,"void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
4.0,10087415,3120,3233.1,2336.0,2112,7200,1773.8,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
3.1,7927517,3598,2203.3,2208.0,2144,2272,23.7,"cuvslam::cuda::sba::point_term_kernel(float3 *, cuvslam::cuda::Mat<float, (int)3, (int)3> *, int, bool, float *)"
2.8,7165653,3598,1991.6,1984.0,1920,2208,33.5,"cuvslam::cuda::sba::reduce_abs_max_kernel(float *, unsigned long, float *)"
