NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
VIO:finish,PushPop,9574,9574,46,46,902607,19621.9,19584.0,19456,20479,142.3,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
VIO:finish,PushPop,9574,9574,46,46,371900,8084.8,8095.5,7936,8224,59.7,"void cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortBlockSortKernel<cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortPolicy<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, unsigned long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::detail::vsmem_t)"
VIO:finish,PushPop,9574,9574,46,46,290682,6319.2,6319.5,6176,6464,59.8,"cuvslam::cuda::non_max_suppression_kernel(unsigned long long, uint2, float *, int)"
VIO:finish,PushPop,9574,9574,46,92,270105,2935.9,2928.0,2688,3168,116.2,"void cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortMergeKernel<cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortPolicy<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, unsigned long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::detail::vsmem_t)"
VIO:finish,PushPop,9574,9574,46,92,255102,2772.8,2752.0,2656,2912,61.2,"void cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortPartitionKernel<cuvslam::cuda::Keypoint *, unsigned long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
VIO:finish,PushPop,9574,9574,46,46,232410,5052.4,5056.0,4608,5440,127.9,"cuvslam::cuda::accumulateGFTT_kernel(unsigned long long, uint2, uint2, uint2, float *)"
VIO:finish,PushPop,9574,9574,46,46,209629,4557.2,4544.0,4512,4608,30.6,"cuvslam::cuda::downsample_gftt_x8_kernel(const float *, int, float *, uint2, int, uint2 *, int)"
VIO:finish,PushPop,9574,9574,46,46,108607,2361.0,2368.0,2304,2432,26.0,"cuvslam::cuda::select_features_kernel(const float *, uint2, unsigned long, const float *, uint2, int, const uint2 *, int, cuvslam::cuda::Keypoint *, int, int *, int *)"
VIO:finish,PushPop,9574,9574,45,45,65376,1452.8,1472.0,1312,1504,33.0,"cuvslam::cuda::filter_maximums_kernel(float *, uint2, int, const cuvslam::cuda::Keypoint *, int)"
VIO:gftt_.compute(),PushPop,9574,9574,46,46,902607,19621.9,19584.0,19456,20479,142.3,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
VIO:launch,PushPop,9574,9574,599,1198,19792329,16521.1,16032.0,12447,28031,2575.2,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
VIO:lift_points,PushPop,9574,9574,46,46,147839,3213.9,3200.0,3168,3552,55.1,"cuvslam::cuda::matcher::lift_kernel(unsigned long long, cuvslam::cuda::Inctinsics, const cuvslam::cuda::Track *, unsigned long, float3 *)"
VIO:match_and_reduce,PushPop,9574,9574,9756,9756,116763669,11968.4,11968.0,11456,12704,168.1,"cuvslam::cuda::matcher::photometric_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VIO:match_and_reduce,PushPop,9574,9574,9756,9756,109070459,11179.8,11168.0,11007,11552,67.3,"cuvslam::cuda::matcher::point_to_point_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VIO:sort,PushPop,9574,9574,46,46,371900,8084.8,8095.5,7936,8224,59.7,"void cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortBlockSortKernel<cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortPolicy<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, unsigned long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::detail::vsmem_t)"
VIO:sort,PushPop,9574,9574,46,92,270105,2935.9,2928.0,2688,3168,116.2,"void cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortMergeKernel<cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortPolicy<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType *, unsigned long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::NullType>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::detail::vsmem_t)"
VIO:sort,PushPop,9574,9574,46,92,255102,2772.8,2752.0,2656,2912,61.2,"void cub::CUB_200500_500_520_530_600_610_620_700_720_750_800_860_870_890_900_NS::DeviceMergeSortPartitionKernel<cuvslam::cuda::Keypoint *, unsigned long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
VIO:track,PushPop,9574,9574,599,1198,19792329,16521.1,16032.0,12447,28031,2575.2,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
VIO:track,PushPop,9574,9574,600,600,16498443,27497.4,27488.0,27135,27936,50.0,"cuvslam::cuda::cast_image_kernel_rgb(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
VIO:track,PushPop,9574,9574,600,3000,15971792,5323.9,2624.0,2304,14176,4464.3,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
VIO:track,PushPop,9574,9574,600,3600,10246766,2846.3,1743.5,1599,7936,2047.9,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
VIO:track,PushPop,9574,9574,600,3600,9413593,2614.9,1856.0,1504,6112,1603.7,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
VisualICP:icp_hessian_and_cost,PushPop,9574,9574,9756,9756,116763669,11968.4,11968.0,11456,12704,168.1,"cuvslam::cuda::matcher::photometric_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VisualICP:icp_hessian_and_cost,PushPop,9574,9574,9756,9756,109070459,11179.8,11168.0,11007,11552,67.3,"cuvslam::cuda::matcher::point_to_point_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VisualICP:solve,PushPop,9574,9574,3594,9756,233527338,11968.4,11968.0,11456,12704,168.1,"cuvslam::cuda::matcher::photometric_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VisualICP:solve,PushPop,9574,9574,3594,9756,218140918,11179.8,11168.0,11007,11552,67.3,"cuvslam::cuda::matcher::point_to_point_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VisualICP:total_cost_and_hessian,PushPop,9574,9574,9756,9756,116763669,11968.4,11968.0,11456,12704,168.1,"cuvslam::cuda::matcher::photometric_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
VisualICP:total_cost_and_hessian,PushPop,9574,9574,9756,9756,109070459,11179.8,11168.0,11007,11552,67.3,"cuvslam::cuda::matcher::point_to_point_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
