t_us,ptr,bytes,kind,tag,owner_func,owner_site
11630908745,0x796f131a4000,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11630908755,0x796f131a7c00,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11630909066,0x796f11200000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11630909078,0x796f1332c000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11630909087,0x796f131a9a00,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11630909097,0x796f131c7a00,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11630909107,0x796f131cf200,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11630909116,0x796f131d2e00,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11630909415,0x796f11400000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909761,0x796f11600000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909770,0x796f13386000,368640,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909780,0x796f133e0000,122880,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909789,0x796f131d4c00,30720,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909799,0x796f131dc400,15360,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909808,0x796f133fe000,7680,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:32
11630909818,0x796f1352c000,491520,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:35
11630909918,0x796f135a4000,160000,GPUArray,keyframe_descriptors,cuvslam::slam::STDescriptorGpuOps::STDescriptorGpuOps,/cuvslam/libs/slam/map/descriptor/st_descriptor_gpu_ops.cpp:31 (discriminator 1)
11630910927,0x796f11800000,6568000,GPUArray,keyframe_descriptors,cuvslam::slam::STDescriptorGpuOps::STDescriptorGpuOps,/cuvslam/libs/slam/map/descriptor/st_descriptor_gpu_ops.cpp:31 (discriminator 2)
11630933848,0x796f0e200000,921600,GPUOnlyArray,pyramid_levels,cuvslam::sof::ImageContext::build_gpu_image_pyramid,/cuvslam/libs/sof/image_context.cpp:210
11631518226,0x796f03400000,1228800,GPUImage,feature_tracks,cuvslam::sof::MonoSOFGPU::finish,/cuvslam/libs/sof/sof_mono_gpu.cpp:180
