t_us,ptr,bytes,kind,tag,owner_func,owner_site
11386541877,0x7d63b7bfc200,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386541886,0x7d63b7dfe000,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542090,0x7d63bf200000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386542101,0x7d63b7f2c000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386542110,0x7d63b7f86000,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386542119,0x7d63b7fa4000,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386542129,0x7d63b7fab800,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386542138,0x7d63b7faf400,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386542146,0x7d63bef2c000,491520,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:35
11386542346,0x7d63c1c00000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542542,0x7d63c1e00000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542553,0x7d63befa4000,368640,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542563,0x7d63b7fb1200,122880,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542575,0x7d63b7fcf200,30720,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542585,0x7d63b7fd6a00,15360,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542595,0x7d63beffe000,7680,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386542803,0x7d63c3c00000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542814,0x7d63bf12c000,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542827,0x7d63b7fda600,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542835,0x7d63b7ff8600,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542849,0x7d63bf186000,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542859,0x7d63bf189c00,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:31 (discriminator 2)
11386542994,0x7d63c3e00000,1228800,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386543005,0x7d63bf18ba00,368640,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386543015,0x7d63bf32c000,122880,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386543025,0x7d63bf1e5a00,30720,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386543035,0x7d63bf1ed200,15360,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386543042,0x7d63bf1f0e00,7680,GPUImage,pyramid_levels,cuvslam::cuda::GPUGradientPyramid::prepare_levels,/cuvslam/libs/cuda_modules/gradient_pyramid.cpp:32
11386543052,0x7d63bf34a000,491520,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:35
11386543132,0x7d63b0000000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
11386543186,0x7d63b0200000,1228800,GPUImage,images_raw,cuvslam::sof::ImageContext::ImageContext,/cuvslam/libs/sof/image_context.cpp:26
