Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.0,67058985,4273,15693.7,15711.0,15008,16352,217.4,"cuvslam::cuda::matcher::photometric_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
29.0,62653277,4273,14662.6,14656.0,14464,15072,76.7,"cuvslam::cuda::matcher::point_to_point_kernel(cuvslam::cuda::ImgTextures, cuvslam::cuda::Inctinsics, cuvslam::cuda::Extrinsics, const cuvslam::cuda::Track *, unsigned long, float, float *, float *, float *, float *)"
9.1,19729738,260,75883.6,75999.5,73279,79168,1014.3,"cuvslam::cuda::cast_depth_kernel(const unsigned short *, unsigned long, float, float *, unsigned long, uint2)"
8.5,18335515,2600,7052.1,3456.0,3136,18944,5973.1,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
5.4,11603571,518,22400.7,20688.0,16384,46048,5030.8,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
4.3,9402273,260,36162.6,36160.0,36032,36607,48.7,"cuvslam::cuda::cast_image_kernel_rgb(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
2.8,5963897,1560,3823.0,2416.0,2271,9728,2638.4,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
2.6,5532028,1560,3546.2,2495.5,2144,8160,2113.9,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
1.1,2344336,89,26340.9,31039.0,8000,35296,8269.7,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
0.7,1574553,114,13811.9,12687.5,10847,18304,2821.6,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
0.6,1291289,114,11327.1,14016.0,2656,15168,4514.5,"cuvslam::cuda::sba::reduced_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, float)"
0.4,899930,89,10111.6,10720.0,7808,11488,1036.6,"cuvslam::cuda::sba::build_full_system_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
0.4,870620,114,7637.0,8064.0,5056,8896,1243.3,"void trsv_lt_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
0.4,849050,114,7447.8,7360.0,6688,8032,450.0,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128, (int)1, (int)32, (int)32, (int)32, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
0.3,649977,114,5701.6,5888.0,4287,6592,732.1,"void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
0.3,562557,228,2467.4,2432.0,2304,2560,61.8,"cuvslam::cuda::sba::point_term_kernel(float3 *, cuvslam::cuda::Mat<float, (int)3, (int)3> *, int, bool, float *)"
0.3,546908,228,2398.7,2080.0,1920,3488,471.9,"cuvslam::cuda::sba::reduce_abs_max_kernel(float *, unsigned long, float *)"
0.3,543646,114,4768.8,5280.0,2848,5984,889.5,"cuvslam::cuda::sba::v1T_x_M_T_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *)"
0.2,519260,114,4554.9,4944.0,2656,6048,979.3,"cuvslam::cuda::sba::reduced_system_stage_12_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
0.2,504794,89,5671.8,5632.0,5439,6240,177.2,"cuvslam::cuda::sba::calc_jacobians_kernel(cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, float)"
0.2,499963,131,3816.5,3776.0,3520,4671,228.7,"cuvslam::cuda::sba::evaluate_cost_kernel(float *, int *, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, cuvslam::cuda::sba::GPUParameterUpdateMeta, float)"
0.2,471422,18,26190.1,26159.5,25952,27008,230.6,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
0.2,371231,89,4171.1,5472.0,1440,6400,1980.6,"cuvslam::cuda::sba::clear_full_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
0.2,365051,114,3202.2,3360.0,2368,3584,340.8,"cuvslam::cuda::sba::reduced_system_stage_3_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int)"
0.1,278816,114,2445.8,2304.0,1856,3008,386.7,"cuvslam::cuda::sba::calc_pose_update_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::sba::float6 *, int)"
0.1,278270,114,2441.0,2719.5,1760,3008,424.1,"cuvslam::cuda::sba::calc_point_update_kernel_xavier_special(float *, float *, unsigned long, float *, float *, int, int)"
0.1,266143,114,2334.6,2336.0,2240,2592,62.9,"cuvslam::cuda::sba::v1T_x_M_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *, bool)"
