run,dataset,sequence,variant,mode,ape_m,rte_pct,rot_dpm,re_deg,rpe1s_m,rpe1s_deg,matched
kitti02_stereo_odom,kitti,02,stereo,odom,4.5481,0.975,0.0021,0.7067,,,4661.0
kitti02_stereo_slam,kitti,02,stereo,slam,5.3471,1.112,0.0024,0.8158,,,4661.0
kitti02_stereo_slam_async,kitti,02,stereo,slam_async,6.0862,1.144,0.003,1.0724,,,4661.0
kitti03_stereo_odom,kitti,03,stereo,odom,3.9414,2.265,0.0046,0.9883,,,801.0
kitti03_stereo_slam,kitti,03,stereo,slam,4.0539,2.276,0.0034,0.7272,,,801.0
kitti03_stereo_slam_async,kitti,03,stereo,slam_async,4.0539,2.276,0.0034,0.7272,,,801.0
kitti04_stereo_odom,kitti,04,stereo,odom,2.1555,1.967,0.0006,0.09,,,271.0
kitti04_stereo_slam,kitti,04,stereo,slam,2.1556,1.967,0.0006,0.09,,,271.0
kitti04_stereo_slam_async,kitti,04,stereo,slam_async,2.1556,1.967,0.0006,0.09,,,271.0
kitti05_stereo_odom,kitti,05,stereo,odom,3.3099,0.974,0.0023,0.7233,,,2761.0
kitti05_stereo_slam,kitti,05,stereo,slam,2.1545,0.84,0.0016,0.4848,,,2761.0
kitti05_stereo_slam_async,kitti,05,stereo,slam_async,2.1421,0.837,0.0016,0.4746,,,2761.0
kitti06_stereo_odom,kitti,06,stereo,odom,2.8832,1.248,0.0024,0.757,,,1101.0
kitti06_stereo_slam,kitti,06,stereo,slam,2.312,1.083,0.0016,0.4583,,,1101.0
kitti06_stereo_slam_async,kitti,06,stereo,slam_async,2.3241,1.094,0.0016,0.4464,,,1101.0
kitti07_stereo_odom,kitti,07,stereo,odom,1.4379,0.982,0.0047,1.1313,,,1101.0
kitti07_stereo_slam,kitti,07,stereo,slam,1.0324,0.785,0.0026,0.5081,,,1101.0
kitti07_stereo_slam_async,kitti,07,stereo,slam_async,1.0326,0.784,0.0026,0.5073,,,1101.0
kitti08_stereo_odom,kitti,08,stereo,odom,4.566,1.221,0.0029,0.9592,,,4071.0
kitti08_stereo_slam,kitti,08,stereo,slam,4.3864,1.214,0.003,1.0047,,,4071.0
kitti08_stereo_slam_async,kitti,08,stereo,slam_async,4.2891,1.217,0.0028,0.9479,,,4071.0
kitti09_stereo_odom,kitti,09,stereo,odom,3.5281,1.238,0.0018,0.5437,,,1591.0
kitti09_stereo_slam,kitti,09,stereo,slam,3.6912,1.263,0.0017,0.5201,,,1591.0
kitti09_stereo_slam_async,kitti,09,stereo,slam_async,3.4592,1.254,0.0019,0.6008,,,1591.0
kitti10_stereo_odom,kitti,10,stereo,odom,2.1687,1.01,0.0024,0.6612,,,1201.0
kitti10_stereo_slam,kitti,10,stereo,slam,2.1804,1.007,0.0024,0.6878,,,1201.0
kitti10_stereo_slam_async,kitti,10,stereo,slam_async,2.1687,1.01,0.0024,0.6611,,,1201.0
tum_fr3_long_office_household_rgbd_odom,tum,fr3_long_office_household,rgbd,odom,0.1086,1.798,0.6031,1.1926,0.0106,0.4979,2486.0
tum_fr3_long_office_household_rgbd_slam,tum,fr3_long_office_household,rgbd,slam,0.0179,1.447,0.5455,1.0111,0.0104,0.492,2486.0
tum_fr3_long_office_household_rgbd_slam_cpu,tum,fr3_long_office_household,rgbd,slam_cpu,0.0758,1.638,0.5384,1.0331,0.0103,0.4875,2486.0
tum_fr3_nostructure_notexture_far_rgbd_odom,tum,fr3_nostructure_notexture_far,rgbd,odom,0.4138,48.562,9.1642,11.5457,0.1604,3.9399,452.0
tum_fr3_nostructure_notexture_far_rgbd_slam,tum,fr3_nostructure_notexture_far,rgbd,slam,0.4138,48.562,9.1642,11.5456,0.1604,3.9399,452.0
tum_fr3_nostructure_notexture_far_rgbd_slam_cpu,tum,fr3_nostructure_notexture_far,rgbd,slam_cpu,0.4138,48.562,9.1642,11.5456,0.1604,3.9399,452.0
tum_fr3_nostructure_notexture_near_withloop_rgbd_odom,tum,fr3_nostructure_notexture_near_withloop,rgbd,odom,0.3896,19.839,6.5418,13.2453,0.1254,4.3029,1089.0
tum_fr3_nostructure_notexture_near_withloop_rgbd_slam,tum,fr3_nostructure_notexture_near_withloop,rgbd,slam,0.3896,19.839,6.5417,13.2452,0.1254,4.3029,1089.0
tum_fr3_nostructure_notexture_near_withloop_rgbd_slam_cpu,tum,fr3_nostructure_notexture_near_withloop,rgbd,slam_cpu,0.3896,19.839,6.5417,13.2452,0.1254,4.3029,1089.0
tum_fr3_nostructure_texture_far_rgbd_odom,tum,fr3_nostructure_texture_far,rgbd,odom,0.2724,18.58,5.1605,8.6816,0.0938,2.2949,448.0
tum_fr3_nostructure_texture_far_rgbd_slam,tum,fr3_nostructure_texture_far,rgbd,slam,0.2724,18.58,5.1605,8.6816,0.0938,2.2949,448.0
tum_fr3_nostructure_texture_far_rgbd_slam_cpu,tum,fr3_nostructure_texture_far,rgbd,slam_cpu,0.2724,18.58,5.1605,8.6816,0.0938,2.2949,448.0
tumvi_corridor1_inertial_odom,tumvi,corridor1,inertial,odom,4970.5686,31984.922,9.7326,118.9851,1471.0922,49.2476,1040.0
tumvi_corridor1_inertial_slam,tumvi,corridor1,inertial,slam,5922.0686,36249.639,8.5753,104.4525,1651.3333,46.0494,1040.0
tumvi_magistrale1_inertial_odom,tumvi,magistrale1,inertial,odom,4209.3333,16390.887,6.4065,91.8411,827.7817,39.3479,1722.0
tumvi_magistrale1_inertial_slam,tumvi,magistrale1,inertial,slam,1198.9236,4770.758,6.8935,99.5994,423.9923,38.742,1722.0
