k,silhouette,ari_vs_tree,purity_vs_tree
2,0.341,0.127,0.333
3,0.274,0.101,0.467
4,0.366,0.132,0.533
5,0.343,0.197,0.6
6,0.45,0.233,0.667
7,0.483,0.13,0.667
8,0.46,0.072,0.667
