operation,total_time_ms,count,total_mb,mb_per_frame
CUDA memcpy Host-to-Device,16.84,3877,165.25,0.6356
CUDA memcpy Device-to-Device,12.79,7716,549.71,2.1143
CUDA memcpy Device-to-Host,10.48,7724,40.76,0.1568
CUDA memset,6.14,11310,0.06,0.0002
