Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.4,36690126,778,47159.5,47072.0,42048,53408,1928.9,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
8.4,21298200,1799,11838.9,10816.0,10496,17376,2286.1,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
6.6,16742993,2600,6439.6,3488.0,3328,16544,5015.3,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
5.9,14988103,1799,8331.4,8384.0,2304,8736,586.0,"cuvslam::cuda::sba::reduced_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, float)"
5.8,14890563,1799,8277.1,8256.0,5088,8737,359.6,"void trsv_lt_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
5.7,14426879,899,16047.7,15969.0,6400,26368,3841.0,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
5.4,13853348,1799,7700.6,7776.0,6720,8257,417.3,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128, (int)1, (int)32, (int)32, (int)32, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
4.2,10818111,1799,6013.4,5920.0,4288,6464,252.9,"void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
4.0,10088859,3120,3233.6,2320.5,2112,7200,1773.3,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
3.1,7925302,3598,2202.7,2208.0,2144,2272,23.9,"cuvslam::cuda::sba::point_term_kernel(float3 *, cuvslam::cuda::Mat<float, (int)3, (int)3> *, int, bool, float *)"
2.8,7165265,3598,1991.5,1984.0,1920,2240,33.4,"cuvslam::cuda::sba::reduce_abs_max_kernel(float *, unsigned long, float *)"
2.7,6907958,2057,3358.3,3392.0,3104,3968,126.2,"cuvslam::cuda::sba::evaluate_cost_kernel(float *, int *, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, cuvslam::cuda::sba::GPUParameterUpdateMeta, float)"
2.3,5950739,899,6619.3,6624.0,6080,6721,58.3,"cuvslam::cuda::sba::build_full_system_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
2.3,5772336,260,22201.3,22208.0,22016,23424,110.1,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
2.2,5616334,1560,3600.2,2400.0,2272,8640,2273.6,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
1.8,4502576,1799,2502.8,2912.0,1824,3072,481.0,"cuvslam::cuda::sba::calc_pose_update_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::sba::float6 *, int)"
1.7,4213996,1799,2342.4,2336.0,2240,2401,21.5,"cuvslam::cuda::sba::v1T_x_M_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *, bool)"
1.6,4014316,1799,2231.4,2240.0,2144,2273,21.3,"cuvslam::cuda::sba::reduced_system_stage_3_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int)"
1.5,3928654,1799,2183.8,2176.0,2144,2209,19.2,"cuvslam::cuda::sba::pose_scaling_term_kernel(float *, float *, unsigned long, int, float *)"
1.4,3627112,1799,2016.2,2016.0,1920,2144,47.5,"cuvslam::cuda::sba::v1T_x_M_T_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *)"
1.3,3219882,1799,1789.8,1792.0,1728,2176,36.7,"cuvslam::cuda::sba::reduced_system_stage_12_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
1.3,3195496,1799,1776.3,1792.0,1696,1920,44.0,"cuvslam::cuda::sba::calc_point_update_kernel_xavier_special(float *, float *, unsigned long, float *, float *, int, int)"
1.2,3015724,520,5799.5,5792.0,5728,6497,76.8,"cuvslam::cuda::cast_image_kernel(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
1.1,2824007,1799,1569.8,1600.0,1472,1664,49.8,"cuvslam::cuda::sba::make_prediction(float, float, float *, float *, float *, float *, float *)"
