kernel,launches,accesses,skipped_overflow,max_footprint_mb,mean_sectors_per_warp_access,pct_warp_accesses_coalesced_le4,mean_active_lanes,sectors_per_32_active_lanes,interlaunch_jaccard
st_track_with_cache_kernel,12,34128012,1485163,0.003,2.0,100.0,32.0,2.0,1.0
sba::reduced_system_stage_1_kernel,70,2350690,0,0.000,1.58,100.0,32.0,1.58,1.0
