variant	mode	plain_APE_m	nsys_APE_m	delta_m	matched	status
euroc_V2_01_easy_stereo_odom__base	Multicamera/odom	0.1678	0.1678	0	2240	OK
euroc_V2_01_easy_stereo_slam__base	Multicamera/slam	0.0928	0.0928	0	2240	OK
euroc_V2_02_medium_inertial_odom__base	Inertial/odom	1.4996	1.4996	0	2310	OK
euroc_V2_02_medium_inertial_slam__base	Inertial/slam	1.6501	1.6501	0	2310	OK
euroc_V2_02_medium_mono_odom__base	Mono/odom	1.6663	2.0893	0.423	2310	CHECK
euroc_V2_02_medium_stereo_odom__base	Multicamera/odom	0.1775	0.1775	0	2310	OK
euroc_V2_02_medium_stereo_slam__base	Multicamera/slam	0.0628	0.0628	0	2310	OK
euroc_V2_03_difficult_inertial_odom__base	Inertial/odom	68863.2541	68863.2541	0	1887	OK
euroc_V2_03_difficult_inertial_slam__base	Inertial/slam	2181.5080	68863.3782	66681.9	1887	CHECK
euroc_V2_03_difficult_mono_odom__base	Mono/odom	1.8031	1.9084	0.1053	1890	CHECK
euroc_V2_03_difficult_stereo_odom__base	Multicamera/odom	98.9160	98.9160	0	1890	OK
euroc_V2_03_difficult_stereo_slam__base	Multicamera/slam	98.9143	98.9143	0	1890	OK
icl_living_room_traj0_rgbd_odom__base	RGBD/odom	0.0012	0.2475	0.2463	1508	CHECK
icl_living_room_traj0_rgbd_slam__base	RGBD/slam	0.2481	0.2481	0	1508	OK
icl_living_room_traj1_rgbd_odom__base	RGBD/odom	0.0407	0.0407	0	965	OK
icl_living_room_traj1_rgbd_slam__base	RGBD/slam	0.0386	0.0386	0	965	OK
icl_living_room_traj1_rgbd_slam__denoising	RGBD/slam	0.0346	0.0346	0	965	OK
icl_living_room_traj1_rgbd_slam__depth_stereo_track	RGBD/slam	0.0386	0.0386	0	965	OK
icl_living_room_traj1_rgbd_slam__landmarks_export	RGBD/slam	0.0386	0.0386	0	965	OK
icl_living_room_traj1_rgbd_slam__no_motion_model	RGBD/slam	0.0386	0.0386	0	965	OK
icl_living_room_traj1_rgbd_slam__odom_only	RGBD/odom	0.0407	0.0407	0	965	OK
icl_living_room_traj1_rgbd_slam__sba_async	RGBD/slam	0.0324	0.0324	0	965	OK
icl_living_room_traj1_rgbd_slam__slam_async	RGBD/async	0.0388	0.0388	0	965	OK
icl_living_room_traj1_rgbd_slam__slam_cpu	RGBD/slam	0.0407	0.0407	0	965	OK
icl_living_room_traj1_rgbd_slam__slam_planar	RGBD/slam	0.0343	0.0343	0	965	OK
icl_living_room_traj1_rgbd_slam__slam_sync	RGBD/slam	0.0386	0.0386	0	965	OK
icl_living_room_traj2_rgbd_odom__base	RGBD/odom	0.1775	0.1775	0	880	OK
icl_living_room_traj2_rgbd_slam__base	RGBD/slam	0.1781	0.1781	0	880	OK
icl_living_room_traj3_rgbd_odom__base	RGBD/odom	0.0615	0.0615	0	1240	OK
icl_living_room_traj3_rgbd_slam__base	RGBD/slam	0.0589	0.0589	0	1240	OK
icl_traj0_rgbd_odom__base	RGBD/odom	0.0011	0.2489	0.2478	1507	CHECK
icl_traj0_rgbd_slam__base	RGBD/slam	0.2468	0.2468	0	1507	OK
icl_traj1_rgbd_odom__base	RGBD/odom	0.0845	0.0845	0	965	OK
icl_traj1_rgbd_slam__base	RGBD/slam	0.0890	0.0890	0	965	OK
icl_traj2_rgbd_odom__base	RGBD/odom	0.1837	0.1837	0	880	OK
icl_traj2_rgbd_slam__base	RGBD/slam	0.1865	0.1865	0	880	OK
icl_traj3_rgbd_odom__base	RGBD/odom	0.0480	0.0460	0.002	1240	OK
icl_traj3_rgbd_slam__base	RGBD/slam	0.0427	0.0427	0	1240	OK
kitti00_stereo_odom__base	Multicamera/odom	0.3346	6.3791	6.0445	4541	CHECK
kitti00_stereo_slam__base	Multicamera/slam	2.1314	2.1044	0.027	4541	OK
kitti00_stereo_slam_async__base	Multicamera/async	2.1461	2.2558	0.1097	4541	CHECK
kitti01_stereo_odom__base	Multicamera/odom	11.5869	11.5869	0	1101	OK
kitti01_stereo_slam__base	Multicamera/slam	10.4528	11.5861	1.1333	1101	CHECK
kitti01_stereo_slam_async__base	Multicamera/async	11.5861	11.4784	0.1077	1101	OK
kitti02_stereo_odom__base	Multicamera/odom	4.5481	4.5481	0	4661	OK
kitti02_stereo_slam__base	Multicamera/slam	5.3471	5.3471	0	4661	OK
