kernel,launches,accesses,skipped_overflow,max_footprint_mb,mean_sectors_per_warp_access,pct_warp_accesses_coalesced_le4,mean_active_lanes,sectors_per_32_active_lanes,interlaunch_jaccard
st_track_with_cache_kernel,12,60000000,91172609,0.003,1.99,100.0,32.0,1.99,1.0
sba::reduced_system_stage_1_kernel,42,1156310,0,0.000,1.47,100.0,32.0,1.47,1.0
