kernel,n_seq,modal_class,modal_frac,euroc_MH_01_easy,euroc_MH_02_easy,euroc_MH_03_medium,euroc_MH_04_difficult,euroc_MH_05_difficult,euroc_V1_01_easy,euroc_V1_02_medium,euroc_V1_03_difficult,euroc_V2_01_easy,euroc_V2_02_medium,euroc_V2_03_difficult,kitti00,kitti01,kitti02,kitti03,kitti04,kitti05,kitti06,kitti07,kitti08,kitti09,kitti10,tum_fr3_long_office_household,tum_fr3_nostructure_notexture_far,tum_fr3_nostructure_notexture_near_withloop,tum_fr3_nostructure_texture_far,tumvi_corridor1,agreement
sba::clear_full_system_stage_2_kernel,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
sba::evaluate_cost_kernel,27,G4,0.96,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G7,consistent
sba::make_prediction,27,G3,0.67,G4,G4,G4,G3,G4,G3,G3,G4,G3,G3,G4,G3,G4,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G4,G4,G3,±G3:18/G4:9
sba::point_term_kernel,27,G2,0.96,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G7,consistent
sba::pose_scaling_term_kernel,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
sba::reduce_abs_max_kernel,27,G4,0.85,G4,G4,G4,G4,G4,G4,G4,G4,G3,G4,G3,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G3,G4,G4,G4,G4,G7,consistent
sba::reduced_system_stage_12_kernel,27,G0,0.96,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G0,G7,consistent
sba::reduced_system_stage_1_kernel,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
sba::reduced_system_stage_2_kernel,27,G3,0.96,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G5,consistent
sba::reduced_system_stage_3_kernel,27,G4,0.96,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G7,consistent
sba::update_points_kernel,18,G2,0.94,,,,G2,,G2,G2,,G2,G2,,G2,,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,,,G4,consistent
sba::update_poses_kernel,18,G3,0.94,,,,G4,,G3,G3,,G3,G3,,G3,,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,,G3,consistent
sba::v1T_x_M_T_x_v2_kernel,27,G1,0.89,G1,G1,G1,G1,G1,G4,G1,G1,G4,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G3,consistent
sba::v1T_x_M_x_v2_kernel,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
select_features_kernel,25,G2,0.88,G2,G2,G2,,G2,G2,G2,G2,G2,G2,G2,G2,G1,G2,G2,G2,G2,G2,G1,G2,G1,G2,G2,G2,G2,,G2,consistent
st_build_cache_kernel,24,G2,0.96,G2,G2,G2,G2,G2,,G2,,,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G4,consistent
st_track_with_cache_kernel,4,G2,0.5,G2,G2,,G4,,,,,,,,,,,,,,,,G3,,,,,,,,±G2:2/G4:1/G3:1
trsv_ln_exec,27,G3,0.93,G3,G3,G3,G3,G3,G3,G3,G3,G3,G4,G3,G3,G3,G3,G4,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,consistent
trsv_lt_exec,27,G3,0.81,G3,G3,G3,G3,G3,G7,G3,G3,G7,G3,G3,G4,G3,G4,G3,G3,G3,G4,G3,G3,G3,G3,G3,G3,G3,G3,G3,consistent
xxtrf4_set_info_ker,27,G7,1.0,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,unanimous
