app,kernel,class,confidence,stability,dram_sol,lfmr,mpki,sect,occ,ai,t_base_ms,share_pct,s_core,s_mem,screened,signature
pb_2dconv,convolution2D_kernel,G1-bandwidth,low,stable,89.6,0.358,171.08,4.7,78.1,2.309,0.647,100.0,1.252,1.292,False,match
pb_3dconv,convolution3D_kernel,G1-bandwidth,high,stable,60.3,0.562,219.48,4.6,79.0,2.335,1.111,100.0,1.413,1.18,False,match
pb_2mm,mm2_kernel2,G3-l2-reuse,low,stable,1.1,0.005,3.98,4.0,99.5,101.068,8.58,49.94,1.901,0.997,False,match
pb_2mm,mm2_kernel1,G3-l2-reuse,low,stable,0.9,0.003,2.7,4.0,99.3,189.84,8.6,50.06,1.901,0.994,False,match
pb_3mm,mm3_kernel2,G3-l2-reuse,low,stable,0.8,0.001,3.12,4.0,99.0,127.525,1.127,33.43,1.851,0.991,False,match
pb_3mm,mm3_kernel3,G3-l2-reuse,low,stable,0.9,0.007,3.2,4.0,99.1,124.342,1.133,33.6,1.842,0.988,False,match
pb_3mm,mm3_kernel1,G3-l2-reuse,low,stable,4.0,0.014,14.91,4.0,99.1,26.711,1.111,32.96,1.878,1.02,False,match
pb_atax,atax_kernel1,G3-l2-reuse,low,stable,8.1,0.238,121.55,16.5,69.4,3.503,4.341,73.96,1.996,1.001,False,match
pb_atax,atax_kernel2,G1-bandwidth,low,stable,20.5,0.474,108.2,4.0,96.6,3.935,1.528,26.04,1.362,1.101,False,mismatch
pb_bicg,bicg_kernel1,G4-latency,low,stable,21.4,0.484,864.91,4.0,16.6,0.492,1.464,58.07,1.346,1.114,False,match
pb_bicg,bicg_kernel2,G2-coalescing,low,stable,32.9,0.502,870.84,16.5,16.6,0.489,1.057,41.93,1.445,0.987,False,match
pb_corr,corr_kernel,G3-l2-reuse,low,stable,0.4,0.006,44.92,31.5,15.6,7.299,1335.672,99.91,1.987,1.0,False,match
pb_corr,std_kernel,G4-latency,low,stable,15.2,0.598,871.75,4.0,16.6,0.509,0.359,0.03,1.688,1.0,True,
pb_corr,mean_kernel,G4-latency,low,stable,10.5,0.481,838.96,4.0,16.6,0.377,0.736,0.06,1.347,1.113,True,
pb_corr,reduce_kernel,G1-bandwidth,low,stable,84.6,0.326,162.86,4.0,76.7,2.133,0.088,0.01,1.823,1.0,True,
pb_covar,covar_kernel,G3-l2-reuse,low,stable,0.4,0.007,45.2,31.5,15.6,7.254,1336.505,99.94,1.986,1.0,False,match
pb_covar,mean_kernel,G4-latency,low,stable,10.5,0.48,838.94,4.0,16.6,0.377,0.737,0.06,1.344,1.112,True,
pb_covar,reduce_kernel,G1-bandwidth,low,stable,82.0,0.487,200.51,4.0,72.8,1.746,0.019,0.0,1.751,1.005,True,
pb_fdtd_2d,fdtd_step3_kernel,G1-bandwidth,high,stable,95.7,0.69,464.63,4.2,85.4,0.555,166.897,41.53,1.006,1.363,False,match
pb_fdtd_2d,fdtd_step1_kernel,G1-bandwidth,high,stable,96.0,0.641,360.24,4.0,79.6,1.068,114.785,28.56,1.046,1.347,False,match
pb_fdtd_2d,fdtd_step2_kernel,G1-bandwidth,high,stable,96.2,0.618,373.21,4.3,81.2,1.072,120.208,29.91,1.032,1.36,False,match
pb_gemm,gemm_kernel,G3-l2-reuse,low,stable,1.2,0.005,3.98,4.0,98.9,127.828,1.127,100.0,1.85,1.009,False,match
pb_gesummv,gesummv_kernel,G2-coalescing,low,stable,28.8,0.493,620.23,12.3,16.4,0.496,2.063,100.0,1.613,0.961,False,match
pb_mvt,mvt_kernel1,G3-l2-reuse,low,stable,7.2,0.217,108.12,16.5,69.8,3.938,4.342,73.93,1.995,1.0,False,match
pb_mvt,mvt_kernel2,G1-bandwidth,low,stable,20.5,0.474,108.13,4.0,96.6,3.939,1.531,26.07,1.359,1.103,False,mismatch
pb_syr2k,syr2k_kernel,G3-l2-reuse,low,stable,0.4,0.017,5.01,16.5,98.3,100.574,65.794,100.0,2.0,1.0,False,match
pb_syrk,syrk_kernel,G3-l2-reuse,low,stable,0.5,0.006,5.51,16.5,98.2,94.066,33.8,100.0,2.0,1.0,False,match
rod_gaussian,Fan2,G3-l2-reuse,medium,stable,20.2,0.145,82.18,5.5,29.3,2.598,1048.952,99.59,1.974,1.0,False,match
rod_gaussian,Fan1,G2-coalescing,high,stable,10.1,0.475,826.94,31.7,26.6,0.41,4.321,0.41,1.785,1.0,True,
rod_lud,lud_internal,G1-bandwidth,medium,borderline:G1-bandwidth↔G3-l2-reuse,53.5,0.325,108.77,4.0,83.1,4.462,89.31,91.66,1.69,1.088,False,mismatch
rod_lud,lud_perimeter,G6-onchip,medium,stable,7.9,0.474,25.18,2.0,22.5,5.338,4.917,5.05,1.944,1.009,False,match
rod_lud,lud_diagonal,G7-dependency,medium,stable,1.3,0.375,490.03,2.0,2.1,0.166,3.211,3.3,1.939,1.006,False,match
rod_nw,needle_cuda_shared_1,G4-latency,medium,stable,6.9,0.504,138.47,3.5,3.3,1.033,6.396,50.16,1.628,1.003,False,match
rod_pathfinder,dynproc_kernel,G1-bandwidth,low,stable,79.8,0.856,110.78,4.6,95.5,4.491,0.968,100.0,1.57,1.206,False,match
rod_particlefilter,find_index_kernel,G5-compute,high,stable,0.4,0.426,1.86,8.0,84.9,179.018,835.333,75.2,1.986,0.995,False,match
rod_particlefilter,likelihood_kernel,G5-compute,high,stable,0.9,0.046,18.65,29.1,89.7,13.523,193.808,17.45,2.0,1.0,False,match
rod_particlefilter,normalize_weights_kernel,G0-nosignal,low,borderline:G0-nosignal↔G7-dependency,0.4,0.573,428.86,1.4,37.2,0.142,81.594,7.35,1.851,1.0,False,n/a
rod_particlefilter,sum_kernel,G6-onchip,medium,stable,0.2,0.326,7.37,1.0,35.5,49.902,0.086,0.01,1.835,1.01,True,
rod_streamcluster,kernel_compute_cost,G1-bandwidth,high,stable,94.1,0.974,645.81,4.9,48.2,0.712,44.185,100.0,1.875,0.999,False,mismatch
