k,silhouette,purity_vs_tree
4,0.357,0.542
5,0.305,0.562
6,0.299,0.542
7,0.302,0.572
8,0.327,0.662
9,0.317,0.622
10,0.315,0.721
11,0.317,0.741
12,0.317,0.687
