class,n,dram_sol_med,lfmr_med,mpki_med,sect_med,occ_med,dram_sol_iqr,lfmr_iqr,mpki_iqr,sect_iqr,occ_iqr
G0-nosignal,1,0.4,0.57,428.86,1.4,37.2,0.0,0.0,0.0,0.0,0.0
G1-bandwidth,10,89.6,0.62,219.48,4.3,83.1,42.2,0.22,264.44,0.6,16.5
G2-coalescing,2,32.9,0.5,870.84,16.5,16.6,4.1,0.01,250.61,4.2,0.2
G3-l2-reuse,13,0.9,0.01,5.51,5.5,98.3,3.5,0.01,41.22,12.5,29.7
G4-latency,2,21.4,0.5,864.91,4.0,16.6,14.5,0.02,726.44,0.5,13.3
G5-compute,2,0.9,0.43,18.65,29.1,89.7,0.5,0.38,16.79,21.1,4.8
G6-onchip,1,7.9,0.47,25.18,2.0,22.5,0.0,0.0,0.0,0.0,0.0
G7-dependency,1,1.3,0.38,490.03,2.0,2.1,0.0,0.0,0.0,0.0,0.0
