operation,total_time_ms,count,total_mb,mb_per_frame
CUDA memcpy Host-to-Device,83.16,5506,436.72,1.6797
CUDA memcpy Device-to-Device,31.67,976,639.77,2.4607
CUDA memcpy Device-to-Host,14.21,9528,15.57,0.0599
CUDA memset,4.48,9264,1.51,0.0058
