kernel,stage,verdict,launches,time_ms,mem_sol_pct,comp_sol_pct,dram_sol_pct,l1_hit_pct,l2_hit_pct,occupancy_pct,sectors_per_req_ld,sectors_per_req_st,stall_long_scoreboard,stall_short_scoreboard,stall_lg_throttle,stall_mio_throttle,stall_tex_throttle,stall_math_throttle,stall_barrier,stall_wait,stall_not_selected
sba::pose_scaling_term_kernel,bundle_adjust,underutilized,6,0.0175,4.38,0.43,4.38,0.0,66.58,18.04,13.5,0.0,0.424,1.43,0.0,0.0,0.0,0.029,3.114,2.845,0.06
select_features_kernel,feature_detect,memory-bound,1,0.017,83.84,1.61,83.84,41.5,16.78,39.63,17.06,9.48,107.267,0.691,23.751,0.088,0.0,0.042,0.0,2.174,0.125
sba::update_points_kernel,bundle_adjust,memory-latency,6,0.0167,22.62,0.47,22.62,78.94,66.44,23.06,21.38,31.06,59.111,0.875,1.364,0.0,0.0,0.084,0.0,2.909,0.202
sba::calc_pose_update_kernel,bundle_adjust,underutilized,6,0.016,8.6,0.11,8.6,91.46,69.2,10.35,3.0,4.0,1.808,0.86,0.021,0.0,0.0,0.0,0.0,2.078,0.007
sba::update_poses_kernel,bundle_adjust,memory-latency,6,0.0115,5.9,0.23,5.9,90.91,71.61,14.89,4.0,4.0,3.368,1.077,0.077,0.0,0.0,0.0,0.0,2.497,0.03
sba::make_prediction,bundle_adjust,memory-latency,6,0.0107,4.26,0.03,4.26,40.0,85.77,3.13,1.0,1.0,15.064,0.806,0.0,0.0,0.0,0.0,0.0,1.472,0.0
cub::DeviceMergeSortPartitionKernel,keypoint_sort,memory-latency,2,0.0107,3.05,0.1,3.05,21.66,51.4,6.08,2.26,1.0,10.244,0.35,0.0,0.0,0.0,0.0,0.0,2.155,0.01
cub::DeviceMergeSortBlockSortKernel,keypoint_sort,underutilized,1,0.0106,14.02,12.8,14.02,83.37,60.1,24.89,11.3,11.92,0.937,1.133,0.25,1.091,0.0,0.071,0.979,2.116,0.21
cub::DeviceMergeSortMergeKernel,keypoint_sort,memory-latency,2,0.0101,29.91,6.59,29.91,67.51,58.93,24.68,10.47,11.92,4.591,0.617,1.169,0.88,0.0,0.134,0.844,1.985,0.293
sba::clear_full_system_stage_2_kernel,bundle_adjust,underutilized,7,0.0098,4.45,0.09,4.25,0.0,58.68,23.99,0.0,3.0,0.0,1.655,0.0,0.0,0.0,0.0,0.0,1.733,0.172
xxtrf4_set_info_ker,ba_solver,underutilized,7,0.0097,4.08,0.01,4.08,0.0,76.21,3.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
dtrsv_init_up,ba_solver,underutilized,6,0.0084,4.31,0.01,4.31,50.0,64.63,3.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0
dtrsv_init,ba_solver,underutilized,6,0.0083,4.04,0.01,3.84,50.0,82.69,3.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091,0.0
copy_info_kernel,ba_solver,underutilized,6,0.0082,4.35,0.01,4.35,0.0,80.15,3.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
matcher::lift_kernel,tracking,memory-latency,1,0.0068,30.05,2.49,30.05,70.87,34.08,22.54,22.47,4.36,36.65,0.224,0.0,0.0,23.336,0.021,0.0,1.641,0.071
filter_maximums_kernel,feature_detect,memory-bound,1,0.0026,42.44,4.9,42.44,20.64,95.44,35.29,1.0,6.58,8.485,1.127,0.183,0.218,0.0,0.493,0.0,2.094,0.549
