app,kernel,class,mem_sol,comp_sol,dram_sol,lfmr,occ,log_sect,qsr,l2amp,s_core,s_mem,dsa
hb_fwt,fwtBatch2Kernel,G1-bandwidth,94.801,13.2838,94.801,0.5033,89.1672,0.6023,0.0613,0.7588,1.0058,1.3557,0.9307
hb_fwt,fwtBatch1Kernel,G1-bandwidth,74.8925,65.4903,74.8925,0.4999,96.4768,0.6021,0.5503,0.8295,1.6201,1.2813,65.6014
hb_fwt,modulateKernel,G1-bandwidth,94.9955,10.2687,94.9955,0.6663,95.4287,0.6031,0.0002,0.8814,1.0021,1.3567,0.3316
hb_ga,ga,G7-dependency,12.739,12.739,0.4697,0.1891,16.6649,0.1627,0.0106,0.7325,2.0021,1.0,90.0023
hb_gamma_correction,gamma_correction,G1-bandwidth,92.9975,36.854,92.9975,0.4126,83.0064,0.6021,0.0314,0.7838,1.1933,1.322,30.9728
hb_gaussian,fan2,G1-bandwidth,87.2522,27.07,87.2522,0.354,73.1416,0.7574,0.0041,0.6468,1.4622,1.1874,67.9335
hb_gaussian,fan1,G2-coalescing,16.2247,0.8918,14.3628,0.4753,13.3002,1.5035,0.0,0.4725,1.5317,1.0356,86.1645
hb_gc,runSmall,G3-l2-reuse,64.5414,34.2799,17.9556,0.0928,83.5126,0.6069,0.0184,0.0934,1.9188,1.0008,89.9495
hb_gc,init,G3-l2-reuse,22.0134,24.4009,21.6125,0.3043,65.8576,0.7155,0.001,0.3036,1.7985,1.0009,89.9362
hb_gc,runLarge,G3-l2-reuse,1.5799,1.4201,1.0189,0.2315,52.4495,0.584,0.0098,0.3204,1.8675,0.9956,90.2894
hb_geam,transpose_readWrite_alignment_kernel,G1-bandwidth,94.1091,26.9905,94.1091,0.5021,98.1101,0.6021,1.0028,0.9938,1.0137,1.353,2.2292
hb_geglu,geglu_kernel,G1-bandwidth,94.1376,12.4759,94.1376,0.4777,73.1382,1.5051,0.3894,0.5966,1.0083,1.36,1.3282
hb_gels,geqrSolve_batch_kernel,G7-dependency,2.1537,0.7153,1.7179,0.4268,16.6609,0.3448,0.006,0.5024,1.9395,1.0009,89.9448
hb_gels,trsm_batch_left_upper_kernel_small,G3-l2-reuse,2.2502,0.07,2.1913,0.3354,2.0833,0.301,0.0,0.3515,1.8781,1.0002,89.9853
hb_gemv,gemv_quantized_int8,G1-bandwidth,92.1863,36.3432,92.1863,0.9953,63.2009,0.9823,0.1546,0.9993,1.5822,1.2343,68.076
hb_graphExecution,reduce,G5-compute,21.3756,69.5832,0.6278,0.38,69.6639,0.6021,22.0012,0.2996,1.9855,1.0024,89.8606
hb_graphExecution,reduceFinal,G2-coalescing,1.7502,0.5986,1.638,0.4262,14.7962,0.9031,0.0,0.4421,1.7002,1.0271,87.7795
hb_groupnorm,groupnorm_forward_kernel,G1-bandwidth,79.5689,79.5689,26.0747,0.4828,88.2049,0.5315,0.5781,0.4785,1.9587,1.0001,89.9913
hb_groupnorm,groupnorm_backward_kernel,G1-bandwidth,77.8449,77.8449,33.0277,0.6307,86.7558,0.6021,0.6964,0.6295,1.9742,0.9998,90.0121
hb_groupnorm,groupnorm_forward_kernel2,G1-bandwidth,79.8286,79.8286,39.5918,0.5822,88.2256,0.5313,1.2614,0.5747,1.9619,0.9999,90.0045
hb_gru,gru_cell_forward,G1-bandwidth,94.7863,33.7562,94.7863,0.5285,89.837,0.3011,0.0743,0.9733,1.0024,1.3585,0.3767
hb_haccmk,haccmk_kernel,G7-dependency,3.281,4.8699,0.3609,0.3539,13.0217,0.5933,0.0067,0.603,1.9526,1.0,89.998
hb_hadamard,fast_hadamard_transform_kernel,G3-l2-reuse,7.3449,14.0931,4.6442,0.327,37.7043,0.0002,0.0003,0.3347,1.5867,1.2257,68.9553
hb_hausdorff,computeDistance,G3-l2-reuse,76.3552,76.3503,0.4203,0.0708,89.2818,0.0,1.2736,0.0746,1.9861,1.0001,89.9952
hb_heat,solve,G1-bandwidth,83.9281,83.0715,83.9281,0.2562,86.7705,0.9241,0.0025,0.49,1.9897,1.2487,75.8917
hb_heat,initial_value,G5-compute,4.231,87.3823,4.231,0.1395,95.2865,0.9031,0.0298,0.8963,1.9997,1.0007,89.9592
hb_heat,zero,G1-bandwidth,93.5343,10.2535,93.5343,0.0006,73.1764,0.9031,142.0679,0.8689,1.0296,1.359,4.7155
hb_heat2d,dev_lapl_iter,G1-bandwidth,83.8941,62.7209,83.8941,0.2551,84.0029,0.6435,0.0127,0.4672,1.7368,1.2808,69.136
hb_hellinger,hellinger,G3-l2-reuse,54.8391,64.1531,1.0258,0.0292,99.4203,0.6018,0.002,0.0336,1.816,1.0012,89.9191
hb_hexciton,comm_empty,G7-dependency,0.8228,0.132,0.7983,0.2294,16.073,-2.0,0.0,0.1885,1.5997,1.0004,89.9594
hb_histogram,histogram_smem_atomics,G1-bandwidth,26.574,21.4174,26.574,0.6554,80.5382,0.6021,0.0015,0.6554,1.2037,1.26,38.0771
hb_histogram,histogram_smem_accum,G4-latency,4.8772,0.433,4.8772,0.8616,8.3124,0.6021,0.0,0.8617,1.6873,1.003,89.7527
hb_hmm,viterbi,G2-coalescing,71.8325,8.7119,47.0882,0.9936,16.6536,1.2174,0.0036,1.0101,1.9894,1.0001,89.9936
hb_hungarian,step_4,G3-l2-reuse,3.1448,0.5254,1.5463,0.1119,16.6456,0.8584,0.0,0.1718,1.5838,0.9889,91.0867
hb_hungarian,compress_matrix,G1-bandwidth,85.4747,16.779,85.4747,0.9525,68.8183,0.6021,0.0005,0.9517,1.0343,1.0131,69.1036
hb_hungarian,step_5b,G4-latency,3.6824,0.1971,2.4319,0.4258,3.4826,0.3724,0.0,0.5982,1.6104,0.9929,90.662
hb_hungarian,step_5a,G4-latency,1.7984,0.2354,1.1414,0.4185,3.7288,0.4257,0.0,0.382,1.6188,0.9981,90.1778
hb_hungarian,step_6_add_sub,G1-bandwidth,52.5908,43.9104,52.5908,0.488,83.2141,0.5645,0.0088,0.4873,1.3858,0.9941,90.8751
hb_hungarian,step_1_col_sub,G1-bandwidth,80.6432,38.6603,80.6432,0.495,76.169,0.6001,0.0094,0.4933,1.46,0.9841,91.9813
hb_hungarian,step_3,G3-l2-reuse,1.7581,0.344,1.2929,0.3021,4.1609,0.6021,0.0,0.2783,1.0603,0.9945,95.1919
hb_hungarian,calc_min_in_rows,G1-bandwidth,82.2808,13.2148,82.2808,0.6379,89.5896,0.9031,0.3594,0.6346,1.9647,1.0049,89.7068
hb_hungarian,calc_min_in_cols,G1-bandwidth,84.7288,13.5298,84.7288,0.9925,91.8719,0.6021,0.0034,0.9923,1.8699,0.9989,90.0748
hb_hungarian,step_1_row_sub,G1-bandwidth,85.4766,32.893,85.4766,0.4933,75.4893,0.6029,0.0022,0.4928,1.7664,1.0011,89.9154
hb_hungarian,step_3ini,G7-dependency,2.5457,0.2457,2.1434,0.2264,4.1478,0.597,0.0,0.3296,1.2211,0.9222,109.384
hb_hungarian,step_2,G2-coalescing,7.1713,0.438,5.7249,0.4101,16.6513,1.0347,0.0,0.5607,1.5754,1.0083,89.1692
hb_hungarian,step_4_init,G6-onchip,1.6149,0.2508,0.6325,0.1519,4.1603,0.6021,0.0,0.1231,1.6074,0.9986,90.1316
hb_hungarian,min_reduce_kernel1,G1-bandwidth,44.6569,39.1685,44.6569,0.9147,90.423,0.4369,0.0457,0.9122,1.8645,1.0021,89.8592
hb_hungarian,min_reduce_kernel2,G3-l2-reuse,0.8235,0.0957,0.8235,0.3183,7.6549,0.6021,0.0,0.2806,1.6993,1.0025,89.7969
hb_hungarian,init,G7-dependency,1.8381,0.4032,0.6356,0.1246,4.1531,0.6021,0.0,0.092,1.6278,1.0205,88.1318
hb_hwt1d,dwtHaar1D,G1-bandwidth,84.9646,49.9376,84.9627,0.486,90.5285,0.6002,0.0481,0.8105,1.6347,1.1914,73.2178
hb_hypterm,hypterm_1,G5-compute,29.278,86.2729,29.278,0.4178,64.3422,0.9729,0.4589,0.7477,1.9992,1.0002,89.9862
hb_hypterm,hypterm_2,G1-bandwidth,64.3739,86.6347,64.3739,0.433,63.3513,0.8974,0.0439,0.5501,1.9963,1.0174,88.9998
hb_hypterm,hypterm_3,G1-bandwidth,75.367,86.7049,75.367,0.5813,64.0601,0.8973,0.0642,0.7119,1.996,1.1157,83.374
hb_idivide,check,G5-compute,9.9756,70.7724,0.9548,0.3824,68.5378,-2.0,4.5663,0.562,1.9472,1.0002,89.9884
hb_interleave,add_kernel_non_interleaved,G3-l2-reuse,71.9552,35.8614,0.5472,0.0031,16.6629,0.6021,0.0,0.0029,1.9994,0.9999,90.0081
hb_intrinsics_cast,cast1_intrinsics,G5-compute,10.471,95.854,10.471,0.5131,95.9384,0.9031,0.0004,0.499,2.0003,1.0002,89.9897
hb_intrinsics_simd,simd_intrinsics,G5-compute,11.1631,89.4494,11.1631,0.5235,62.5833,0.6021,0.0,0.5179,1.9814,1.0001,89.997
hb_inversek2j,invkin_kernel,G2-coalescing,26.2151,37.2122,26.2151,0.3884,72.4582,1.0792,0.0838,0.3871,1.8307,0.9998,90.0166
hb_is,create_seq_gpu_kernel,G5-compute,0.0721,80.1963,0.0036,-2.0644,81.2067,0.6021,1.0174,0.0202,2.0049,1.0027,89.8475
hb_is,rank_gpu_kernel_3,G3-l2-reuse,45.5595,3.6007,10.7057,0.1244,67.07,0.6021,0.2679,0.1237,1.3463,1.0011,89.814
hb_is,rank_gpu_kernel_1,G3-l2-reuse,0.3721,0.0243,0.3721,0.2503,2.0833,0.0,0.0,0.2093,1.6483,1.0042,89.63
hb_is,rank_gpu_kernel_4,G4-latency,3.5309,3.5309,1.832,0.3796,16.2227,0.5643,0.0,0.3409,1.7854,1.0006,89.9535
hb_is,rank_gpu_kernel_5,G4-latency,1.5774,0.4718,1.5774,0.3653,16.5842,0.6021,0.0,0.4371,1.7676,1.0033,89.7543
hb_is,rank_gpu_kernel_7,G3-l2-reuse,0.7027,0.0364,0.7027,0.2733,2.0833,0.0,0.0,0.2456,1.6721,1.0,90.0
hb_is,rank_gpu_kernel_6,G4-latency,3.8158,1.023,3.8158,0.4102,16.4509,0.6021,0.0,0.4733,1.6676,1.0,90.0025
hb_is,rank_gpu_kernel_2,G6-onchip,1.3036,0.3998,0.6888,0.1441,16.4291,0.6021,0.0,0.1183,1.6347,1.0012,89.8943
hb_ising,update_lattice,G1-bandwidth,84.1528,70.7282,84.1528,0.682,85.2944,0.2218,0.0077,0.7444,1.8788,1.1172,82.404
hb_ising,init_spins,G1-bandwidth,93.2581,23.6992,93.2581,0.7989,78.614,0.6021,0.0,0.9369,1.3696,1.2889,51.9916
hb_iso2dfd,iso_2dfd_kernel,G1-bandwidth,95.6589,25.3191,95.6589,0.5932,86.6833,0.6592,0.01,0.7075,1.0063,1.3582,1.0044
hb_jacobi,jacobi_step,G1-bandwidth,88.4663,88.4663,55.4389,0.3233,78.2811,0.6016,0.7102,0.4519,1.7926,1.1544,78.977
hb_jenkins_hash,jk3_hash_kernel,G1-bandwidth,95.498,30.1352,95.498,0.8983,86.8176,1.0518,0.0006,0.9591,1.0258,1.3605,4.0976
hb_kalman,kalman,G3-l2-reuse,3.8918,17.1321,0.5107,0.0278,16.5079,1.4946,0.1104,0.0268,2.0008,1.0,89.9987
hb_keccaktreehash,ker_Keccak,G5-compute,9.5859,59.3501,9.5859,0.996,9.1263,0.6021,0.0,1.0055,1.882,0.9936,90.4177
hb_keogh,lb_keogh,G1-bandwidth,80.7054,87.4658,4.6929,0.6192,98.9426,0.6021,2.2616,0.7904,1.9997,1.0001,89.9938
hb_kernelLaunch,KernelWithSmallArgs,G7-dependency,1.5464,0.05,1.4536,0.293,2.0833,-2.0,0.0,0.3403,1.6739,0.9998,90.0132
hb_kiss,unsigned,G1-bandwidth,95.0884,32.3655,95.0884,0.0043,98.5891,0.9031,1.3594,0.9942,,,
hb_knn,cuComputeDistanceGlobal,G6-onchip,97.33,97.33,5.4561,0.024,98.5964,0.6021,10.5925,0.1673,1.9894,1.0,90.0004
hb_knn,cuInsertionSort,G3-l2-reuse,22.029,15.5526,8.1101,0.1972,16.4535,0.2911,0.0,0.2018,1.9364,1.0401,87.547
hb_knn,cuParallelSqrt,G1-bandwidth,30.8695,15.3266,30.8695,0.4905,64.5406,0.6021,0.0269,0.4894,1.6253,1.0304,87.2148
hb_kurtosis,DeviceReduceKernel,G1-bandwidth,97.4595,23.245,97.4595,0.9999,99.7337,1.3802,0.0016,1.0003,,,
hb_kurtosis,DeviceReduceSingleTileKernel,G7-dependency,4.2121,0.3846,3.9628,0.5077,9.8993,1.2935,0.0285,0.5009,,,
hb_langford,dfs_gpu,G1-bandwidth,67.2946,67.2893,0.4004,0.9213,33.8024,-0.0056,8.4518,0.9243,2.1649,1.0472,87.679
hb_laplace3d,laplace3d,G1-bandwidth,48.6043,48.6043,33.212,0.3851,48.1282,0.6985,0.0888,0.3853,1.8621,0.9995,90.0335
hb_lavaMD,md,G5-compute,36.3981,85.06,1.5368,0.0593,83.1457,1.0969,0.0773,0.0738,1.9996,1.0,90.0005
