app,kernel,class,mem_sol,comp_sol,dram_sol,lfmr,occ,log_sect,qsr,l2amp,s_core,s_mem,dsa
hb_bh,SummarizationKernel,G3-l2-reuse,30.1919,12.6257,12.145,0.1215,17.1711,0.8031,0.0071,0.122,1.791,1.0015,89.8946
hb_bh,SortKernel,G3-l2-reuse,39.4319,9.1827,10.5627,0.1432,17.6464,0.9538,0.0002,0.1424,1.9167,0.9967,90.2041
hb_bh,IntegrationKernel,G1-bandwidth,85.1869,5.0052,85.1869,0.4996,34.9407,1.1249,0.0014,0.4985,1.8831,1.001,89.9355
hb_bh,BoundingBoxKernel,G1-bandwidth,50.4039,5.1131,50.4039,0.9746,32.2202,1.1252,0.0019,0.9742,1.7894,0.9996,90.0265
hb_bh,ClearKernel1,G3-l2-reuse,57.8658,14.3692,0.2098,0.0017,18.2366,0.6021,0.6704,0.0014,1.8975,1.0009,89.9406
hb_bh,ClearKernel2,G3-l2-reuse,41.6017,3.8318,1.9838,0.0202,17.3896,0.9984,1.3244,0.0215,1.8813,0.9992,90.0508
hb_bh,InitializationKernel,G7-dependency,0.6836,0.0085,0.6836,0.1274,2.0833,0.0,0.0,0.192,1.5294,1.0392,85.7636
hb_bincount,bincount,G3-l2-reuse,18.6077,3.283,6.4229,0.1579,81.3998,0.6021,0.391,0.1619,1.5012,1.0022,89.7522
hb_binomial,binomialOptionsKernel,G5-compute,37.0416,69.1401,0.4854,0.6634,93.8485,0.0,2.9388,0.8195,1.9993,1.0,90.0017
hb_bitonic_sort,bitonic_sort,G1-bandwidth,92.3093,44.1862,92.3093,0.5414,79.6357,0.5449,0.0126,0.9199,1.4916,1.2685,61.3548
hb_bitpacking,bitPackKernel,G3-l2-reuse,1.5755,0.3247,1.4817,0.3128,16.228,0.0,0.0,0.2909,1.9438,1.0154,89.068
hb_bitpacking,bitPackConfigScanKernel,G7-dependency,1.5152,0.2443,1.5152,0.3263,16.2688,0.0,0.0,0.3816,1.1262,1.3443,20.121
hb_bitpacking,bitPackConfigFinalizeKernel,G7-dependency,1.606,0.2076,1.606,0.3249,16.142,0.0,0.0,0.3761,1.6983,1.02,88.3623
hb_bitpermute,bit_rev_permutation,G3-l2-reuse,4.5032,0.2195,2.5551,0.2557,48.3627,1.5064,0.0073,0.3015,1.8253,0.9999,90.0082
hb_black_scholes,getOutValOption,G1-bandwidth,95.753,54.0015,95.753,0.8651,78.675,1.5051,0.0069,0.9596,1.2082,1.3609,29.9858
