app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
hb_asmooth,outFilter,G1-bandwidth,1066.938,0.83,0.074,0.096,0.8,ok
hb_asmooth,normalizeFilter,G1-bandwidth,409.227,0.079,0.828,0.093,1.7,ok
hb_asta,PTTWAC_soa_asta,G7-dependency,1689.621,0.723,0.068,0.208,1.2,ok
hb_atan2,compute_f,G1-bandwidth,57.738,0.138,0.903,-0.041,6.2,ok
hb_atomicAggregate,k,G5-compute,7110.687,0.849,-0.0,0.152,0.3,ok
hb_atomicCAS,atomicMinDerived,G3-l2-reuse,233.721,0.593,0.0,0.407,2.7,ok
hb_atomicCost,wiAtomicOnGlobalMem,G1-bandwidth,1503.681,0.007,0.886,0.108,0.2,ok
hb_atomicCost,woAtomicOnGlobalMem,G1-bandwidth,1444.249,0.033,0.887,0.079,1.1,ok
hb_atomicPerf,BlockRangeAtomicOnGlobalMem,G3-l2-reuse,437.478,0.207,-0.002,0.795,6.7,ok
hb_atomicReduction,atomic_reduction,G1-bandwidth,507.404,0.077,0.861,0.062,2.4,ok
hb_atomicSystemWide,atomicKernel,G3-l2-reuse,1126.345,0.285,0.024,0.691,8.2,ok
hb_attention,attention_kernel1,G2-coalescing,7865.762,0.031,-0.099,1.069,2.1,nonphysical
hb_attention,attention_kernel3,G1-bandwidth,3658.914,0.317,0.32,0.363,0.7,ok
hb_attention,attention_kernel2,G1-bandwidth,3.512,0.452,0.266,0.282,1.7,ok
hb_attention_paged,paged_attention_v1_kernel,G1-bandwidth,187.141,0.361,0.696,-0.057,5.1,nonphysical
hb_attention_paged,uniform_fill_kernel,G1-bandwidth,0.677,0.662,0.316,0.022,4.7,ok
hb_attention_paged,norm_fill_kernel,G7-dependency,0.004,0.586,0.113,0.302,1.4,ok
hb_attentionMergeState,merge_attn_states_kernel,G1-bandwidth,387.37,0.089,0.839,0.072,1.4,ok
hb_attentionMergeState,uniform_fill_kernel,G3-l2-reuse,0.34,0.791,0.157,0.052,2.8,ok
hb_attentionMultiHead,mha,G0-nosignal,878.029,0.875,-0.0,0.125,0.6,ok
hb_axpby,multi_tensor_apply_kernel,G1-bandwidth,432.547,0.161,0.768,0.071,1.8,ok
hb_babelstream,nstream_kernel,G1-bandwidth,773.067,0.004,0.901,0.095,0.1,ok
hb_babelstream,add_kernel,G1-bandwidth,589.727,0.007,0.903,0.089,0.4,ok
hb_babelstream,triad_kernel,G1-bandwidth,588.633,0.006,0.899,0.095,0.3,ok
hb_babelstream,mul_kernel,G1-bandwidth,397.401,0.026,0.885,0.089,0.7,ok
hb_babelstream,copy_kernel,G1-bandwidth,391.909,0.029,0.882,0.09,0.8,ok
hb_babelstream,dot_kernel,G1-bandwidth,399.05,0.004,0.905,0.09,0.1,ok
hb_babelstream,init_kernel,G1-bandwidth,5.63,0.123,1.019,-0.142,4.7,nonphysical
hb_background_subtract,updateThreshold,G5-compute,65.581,0.998,-0.0,0.003,0.1,ok
hb_background_subtract,updateBackground,G5-compute,65.385,0.997,-0.0,0.003,0.0,ok
hb_background_subtract,findMovingPixels,G1-bandwidth,30.463,0.434,0.368,0.198,1.6,ok
hb_backprop,kernel_layerforward,G1-bandwidth,0.058,0.96,0.006,0.034,0.2,ok
hb_backprop,kernel_adjust_weights,G1-bandwidth,0.031,0.885,0.008,0.108,0.1,ok
hb_base64e,base64_enc,G3-l2-reuse,1195.023,0.817,-0.002,0.184,2.5,ok
hb_bezier_surface,BezierGPU,G5-compute,119.155,1.0,0.0,-0.0,0.0,ok
hb_bgmv,bgmv_shrink_kernel,G4-latency,4.828,0.71,0.002,0.288,1.9,ok
hb_bh,ForceCalculationKernel,G3-l2-reuse,4277.46,0.838,0.001,0.16,1.1,ok
hb_bh,TreeBuildingKernel,G3-l2-reuse,14.23,0.563,0.004,0.433,1.9,ok
hb_bh,SummarizationKernel,G3-l2-reuse,12.289,0.791,0.004,0.205,0.8,ok
hb_bh,SortKernel,G3-l2-reuse,6.553,0.917,-0.008,0.091,0.8,ok
hb_bh,IntegrationKernel,G1-bandwidth,1.191,0.883,0.002,0.114,0.8,ok
hb_bh,BoundingBoxKernel,G1-bandwidth,0.878,0.789,-0.001,0.212,0.9,ok
hb_bh,ClearKernel1,G3-l2-reuse,0.927,0.897,0.002,0.1,0.5,ok
hb_bh,ClearKernel2,G3-l2-reuse,0.411,0.881,-0.002,0.121,0.8,ok
hb_bh,InitializationKernel,G7-dependency,0.002,0.529,0.098,0.373,2.1,ok
hb_bincount,bincount,G3-l2-reuse,2115.803,0.501,0.005,0.493,2.3,ok
hb_binomial,binomialOptionsKernel,G5-compute,2546.454,0.999,-0.0,0.001,0.0,ok
hb_bitonic_sort,bitonic_sort,G1-bandwidth,326.963,0.492,0.671,-0.163,10.7,nonphysical
hb_bitpacking,bitPackKernel,G3-l2-reuse,7088.361,0.944,0.038,0.018,0.3,ok
hb_bitpacking,bitPackConfigScanKernel,G7-dependency,2019.025,0.126,0.861,0.013,3.9,ok
hb_bitpacking,bitPackConfigFinalizeKernel,G7-dependency,17.505,0.698,0.05,0.252,1.5,ok
