app,kernel,class,t_base_ms,a_share,b_share,c_share,holdout_err_pct,gate
hb_ising,init_spins,G1-bandwidth,0.65,0.37,0.722,-0.092,9.5,nonphysical
hb_iso2dfd,iso_2dfd_kernel,G1-bandwidth,324.466,0.006,0.896,0.098,0.1,ok
hb_jacobi,jacobi_step,G1-bandwidth,1284.819,0.793,0.386,-0.179,8.8,nonphysical
hb_jenkins_hash,jk3_hash_kernel,G1-bandwidth,510.202,0.026,0.901,0.073,1.2,ok
hb_kalman,kalman,G3-l2-reuse,9945.705,1.001,0.0,-0.001,0.0,ok
hb_keccaktreehash,ker_Keccak,G5-compute,54.336,0.882,-0.016,0.134,1.3,ok
hb_keogh,lb_keogh,G1-bandwidth,3374.529,1.0,0.0,0.0,0.0,ok
hb_kernelLaunch,KernelWithSmallArgs,G7-dependency,2537.931,0.674,-0.0,0.326,2.7,ok
hb_knn,cuComputeDistanceGlobal,G6-onchip,562.954,0.989,-0.0,0.011,0.1,ok
hb_knn,cuInsertionSort,G3-l2-reuse,401.193,0.936,0.1,-0.037,6.8,ok
hb_knn,cuParallelSqrt,G1-bandwidth,0.395,0.625,0.076,0.299,1.3,ok
hb_langford,dfs_gpu,G1-bandwidth,367.919,1.165,0.118,-0.283,1.1,nonphysical
hb_laplace3d,laplace3d,G1-bandwidth,9.53,0.862,-0.001,0.139,1.2,ok
hb_lavaMD,md,G5-compute,60.649,1.0,-0.0,0.0,0.0,ok
